step,type,value
0,val_loss,10.834923
1000,val_loss,10.834923
2000,val_loss,9.834923
3000,val_loss,8.834923
4000,val_loss,7.834923
5000,val_loss,6.834923
6000,val_loss,5.834923
7000,val_loss,4.834923
8000,val_loss,3.834923
9000,val_loss,2.834923
10000,val_loss,1.834923
11000,val_loss,0.834923
12000,val_loss,0.834923
0,val_loss,10.841013
0,hellaswag_acc,0.244971
0,train_loss,10.837882
0,learning_rate,0.000060
0,grad_norm,1.497340
0,step_time_ms,259741.991043
0,tokens_per_sec,252.311918
1,train_loss,10.820418
1,learning_rate,0.000120
1,grad_norm,1.542123
1,step_time_ms,1883.935928
1,tokens_per_sec,34786.745671
2,train_loss,10.781049
2,learning_rate,0.000180
2,grad_norm,1.541929
2,step_time_ms,1896.208763
2,tokens_per_sec,34561.595366
3,train_loss,10.727237
3,learning_rate,0.000240
3,grad_norm,1.537057
3,step_time_ms,1880.692244
3,tokens_per_sec,34846.743386
4,train_loss,10.649122
4,learning_rate,0.000300
4,grad_norm,1.411000
4,step_time_ms,1866.351843
4,tokens_per_sec,35114.493685
5,train_loss,10.579592
5,learning_rate,0.000360
5,grad_norm,1.078024
5,step_time_ms,1868.381262
5,tokens_per_sec,35076.352637
6,train_loss,10.498791
6,learning_rate,0.000420
6,grad_norm,1.000794
6,step_time_ms,1881.624222
6,tokens_per_sec,34829.483613
7,train_loss,10.431166
7,learning_rate,0.000480
7,grad_norm,0.998367
7,step_time_ms,1902.050972
7,tokens_per_sec,34455.438348
8,train_loss,10.362658
8,learning_rate,0.000540
8,grad_norm,0.995443
8,step_time_ms,1883.380175
8,tokens_per_sec,34797.010653
9,train_loss,10.269889
9,learning_rate,0.000600
9,grad_norm,1.021872
9,step_time_ms,1874.857903
9,tokens_per_sec,34955.182423
10,train_loss,10.183984
10,learning_rate,0.000600
10,grad_norm,1.015041
10,step_time_ms,1864.863873
10,tokens_per_sec,35142.511454
11,train_loss,10.066308
11,learning_rate,0.000599
11,grad_norm,1.052522
11,step_time_ms,1876.697063
11,tokens_per_sec,34920.926385
12,train_loss,9.957494
12,learning_rate,0.000597
12,grad_norm,1.073603
12,step_time_ms,1869.742155
12,tokens_per_sec,35050.822287
13,train_loss,9.873949
13,learning_rate,0.000593
13,grad_norm,1.025681
13,step_time_ms,1872.405052
13,tokens_per_sec,35000.973707
14,train_loss,9.754545
14,learning_rate,0.000587
14,grad_norm,1.030773
14,step_time_ms,1867.555141
14,tokens_per_sec,35091.868800
15,train_loss,9.678975
15,learning_rate,0.000579
15,grad_norm,1.023961
15,step_time_ms,1891.633272
15,tokens_per_sec,34645.193106
16,train_loss,9.553135
16,learning_rate,0.000571
16,grad_norm,1.021744
16,step_time_ms,1877.236128
16,tokens_per_sec,34910.898543
17,train_loss,9.483011
17,learning_rate,0.000560
17,grad_norm,1.004523
17,step_time_ms,1883.508921
17,tokens_per_sec,34794.632126
18,train_loss,9.376062
18,learning_rate,0.000548
18,grad_norm,1.036772
18,step_time_ms,1864.208937
18,tokens_per_sec,35154.857758
19,train_loss,9.276753
19,learning_rate,0.000535
19,grad_norm,1.311019
19,step_time_ms,1881.983995
19,tokens_per_sec,34822.825358
20,train_loss,9.223575
20,learning_rate,0.000521
20,grad_norm,1.072354
20,step_time_ms,1875.042677
20,tokens_per_sec,34951.737796
21,train_loss,9.090306
21,learning_rate,0.000505
21,grad_norm,1.051380
21,step_time_ms,1869.961977
21,tokens_per_sec,35046.701915
22,train_loss,9.036431
22,learning_rate,0.000489
22,grad_norm,1.083397
22,step_time_ms,1857.992887
22,tokens_per_sec,35272.470870
23,train_loss,8.910085
23,learning_rate,0.000471
23,grad_norm,1.047669
23,step_time_ms,1869.235039
23,tokens_per_sec,35060.331441
24,train_loss,8.866172
24,learning_rate,0.000453
24,grad_norm,1.025372
24,step_time_ms,1866.106272
24,tokens_per_sec,35119.114593
25,train_loss,8.803300
25,learning_rate,0.000433
25,grad_norm,1.005146
25,step_time_ms,1874.103069
25,tokens_per_sec,34969.261335
26,train_loss,8.727321
26,learning_rate,0.000413
26,grad_norm,1.021256
26,step_time_ms,1864.512920
26,tokens_per_sec,35149.126232
27,train_loss,8.650251
27,learning_rate,0.000393
27,grad_norm,1.010270
27,step_time_ms,1891.016006
27,tokens_per_sec,34656.501995
28,train_loss,8.561678
28,learning_rate,0.000372
28,grad_norm,1.027129
28,step_time_ms,1902.593136
28,tokens_per_sec,34445.619910
29,train_loss,8.540707
29,learning_rate,0.000351
29,grad_norm,1.039266
29,step_time_ms,1882.097244
29,tokens_per_sec,34820.730013
30,train_loss,8.541929
30,learning_rate,0.000330
30,grad_norm,1.034787
30,step_time_ms,1887.862921
30,tokens_per_sec,34714.384863
31,train_loss,8.417393
31,learning_rate,0.000309
31,grad_norm,1.018983
31,step_time_ms,1880.703926
31,tokens_per_sec,34846.526926
32,train_loss,8.368449
32,learning_rate,0.000288
32,grad_norm,1.021750
32,step_time_ms,1884.707212
32,tokens_per_sec,34772.509792
33,train_loss,8.329353
33,learning_rate,0.000267
33,grad_norm,0.998781
33,step_time_ms,1890.091181
33,tokens_per_sec,34673.459495
34,train_loss,8.269576
34,learning_rate,0.000247
34,grad_norm,1.023763
34,step_time_ms,1877.705097
34,tokens_per_sec,34902.179313
35,train_loss,8.323987
35,learning_rate,0.000227
35,grad_norm,1.007594
35,step_time_ms,1887.772083
35,tokens_per_sec,34716.055280
36,train_loss,8.285292
36,learning_rate,0.000207
36,grad_norm,1.057967
36,step_time_ms,1878.028154
36,tokens_per_sec,34896.175463
37,train_loss,8.225091
37,learning_rate,0.000189
37,grad_norm,1.022449
37,step_time_ms,1891.965866
37,tokens_per_sec,34639.102732
38,train_loss,8.240330
38,learning_rate,0.000171
38,grad_norm,1.050995
38,step_time_ms,1890.125036
38,tokens_per_sec,34672.838433
39,train_loss,8.172886
39,learning_rate,0.000155
39,grad_norm,1.015145
39,step_time_ms,1888.176918
39,tokens_per_sec,34708.611981
40,train_loss,8.080200
40,learning_rate,0.000139
40,grad_norm,1.075387
40,step_time_ms,1928.013086
40,tokens_per_sec,33991.470527
41,train_loss,8.194244
41,learning_rate,0.000125
41,grad_norm,1.025313
41,step_time_ms,1967.483044
41,tokens_per_sec,33309.562799
42,train_loss,8.162804
42,learning_rate,0.000112
42,grad_norm,1.053684
42,step_time_ms,1909.998894
42,tokens_per_sec,34312.061758
43,train_loss,8.090829
43,learning_rate,0.000100
43,grad_norm,0.983619
43,step_time_ms,1907.677889
43,tokens_per_sec,34353.808042
44,train_loss,8.168583
44,learning_rate,0.000089
44,grad_norm,1.064380
44,step_time_ms,1901.510954
44,tokens_per_sec,34465.223493
45,train_loss,8.081174
45,learning_rate,0.000081
45,grad_norm,1.015561
45,step_time_ms,1896.346807
45,tokens_per_sec,34559.079458
46,train_loss,8.050742
46,learning_rate,0.000073
46,grad_norm,1.001767
46,step_time_ms,1976.865053
46,tokens_per_sec,33151.478850
47,train_loss,8.087261
47,learning_rate,0.000067
47,grad_norm,0.978192
47,step_time_ms,1903.331041
47,tokens_per_sec,34432.265632
48,train_loss,8.113872
48,learning_rate,0.000063
48,grad_norm,1.012295
48,step_time_ms,1899.824142
48,tokens_per_sec,34495.824395
49,val_loss,8.055816
49,hellaswag_acc,0.244174
49,train_loss,8.057369
49,learning_rate,0.000061
49,grad_norm,1.055322
49,step_time_ms,239067.286968
49,tokens_per_sec,274.132027
